age_group,n_taxpayers,share_taxpayers,avg_tax,avg_tax_if_positive,pct_chg_income
Under 35,50809.03513088413,0.0018553908450214054,10.463814441705754,5639.682048547045,-1.0893171939421537e-4
35-44,53091.23621689689,0.0022677187250301017,99.63802360176973,43937.55826152873,-5.183384657778882e-4
45-54,38550.86458443208,0.001774013758048118,35.41468147002275,19963.025263675645,-1.802281343828292e-4
55-64,101366.85702679139,0.004295301320649231,200.58928259698854,46699.69988663558,-9.83395601797128e-4
65+,105248.6360646132,0.0025424503620886363,111.71188391578484,43938.66860944846,-7.836073190677185e-4
