age_group,n_taxpayers,share_taxpayers,avg_tax,avg_tax_if_positive,pct_chg_income
Under 35,26841.121614877844,9.801558165012123e-4,1.766212741069335,1801.9713920323916,-1.8386850394997e-5
35-44,51107.83615402682,0.0021830005345660256,90.69662521299409,41546.77187517242,-4.7182338493615496e-4
45-54,29640.292490704225,0.0013639716576502885,19.850806106816496,14553.67931985731,-1.010223331714894e-4
55-64,99988.3892730939,0.004236890371187078,136.72184750816555,32269.38521655902,-6.701820061365851e-4
65+,83731.96051092737,0.0020226804002353707,97.74619202247358,48325.07993408117,-6.857711102174393e-4
