income_group,n_taxpayers_1,n_taxpayers_2,n_taxpayers_3,share_taxpayers_1,share_taxpayers_2,share_taxpayers_3,avg_tax_1,avg_tax_2,avg_tax_3,avg_tax_if_positive_1,avg_tax_if_positive_2,avg_tax_if_positive_3,pct_chg_income_1,pct_chg_income_2,pct_chg_income_3
0,1428.98605627727,1909.366102884846,1791209.3424932312,3.867771288233646e-5,5.167994018572598e-5,0.04848184512142595,0.02964390029987762,0.6096819705820398,19.833725236568387,766.4336407392784,11797.265406867366,409.095924193758,-5.0970784503340876e-8,-2.105233861162083e-5,-6.15547272597629e-4
20,26837.041244227305,42302.99762044119,2471576.263380783,9.28675858051126e-4,0.00146386377901283,0.08552705889765944,1.5520895883162429,2.7707525194626728,34.411631186876996,1671.2931372776102,1892.766635247401,402.3478841714118,-2.6067714692535208e-5,-4.653544918069482e-5,-5.779515503724152e-4
40,28331.298509874498,47457.89045216668,2612553.669933804,0.00111598651565744,0.00186939422447251,0.10291002602868007,11.79967316731244,38.92955747339244,54.66259438829985,10573.311596297466,20824.69120946236,531.1687937292513,-1.218972011300361e-4,-4.0216402860912965e-4,-5.64695069766735e-4
60,39721.82087406906,50768.99429389632,2619828.2284717527,0.00167124874156226,0.00213604552754644,0.1102261813179112,14.06449077976682,35.49505515298964,99.92254156704668,8415.55803753034,16617.180998834236,906.5227550508436,-9.20522158690537e-5,-2.3231544820146992e-4,-6.539939135049702e-4
80,33846.37751620224,33846.37751620224,1755119.4600165023,0.00301929934124471,0.00301929934124471,0.15656715484240136,18.117528373562266,22.666810318107434,237.18163701608617,6000.57375102571,7507.308072595069,1514.8875717568628,-7.149637193467442e-5,-8.944899478898864e-5,-9.35979024651188e-4
90,63907.26051857123,75046.05825881803,1007735.3166395782,0.01132418485041085,0.0132979481379991,0.17856783272062926,191.3908363431085,283.8071429688896,614.0955336181861,16901.06960203538,21342.175501339643,3439.004238680229,-4.827114941679519e-4,-7.157969140824184e-4,-0.00154882531608402
95,77575.9155391666,78074.04499396642,970198.957590441,0.01687262223965826,0.01698096450102727,0.2110165300011051,766.9114092857336,1086.3958162994911,1354.3264267109575,45453.00655657105,63977.2738606084,6418.105855043039,-9.246442840398632e-4,-0.00130983796770179,-0.00163287463717449
99,12028.09791471058,14968.166064713305,343276.2826117281,0.01258950573247464,0.01566680067060917,0.35929859886470045,1175.0294095783509,1206.4895882708172,3759.790828197768,93334.03824960031,77009.31502461663,10464.251294265629,-4.437241207172111e-4,-4.556043681511288e-4,-0.00141980265831929
99.9,7632.801870531379,7632.801870531379,42525.37820648556,0.06474355349562608,0.06474355349562608,0.36071211404858,18043.505535234108,14353.007332587256,12394.449015125843,278691.9246941409,221690.13836345743,34361.055624144035,-0.00112024758313603,-8.911196188383078e-4,-7.695207301255405e-4
