wealth_group,n_taxpayers_1,n_taxpayers_2,n_taxpayers_3,share_taxpayers_1,share_taxpayers_2,share_taxpayers_3,avg_tax_1,avg_tax_2,avg_tax_3,avg_tax_if_positive_2,avg_tax_if_positive_3,pct_chg_income_1,pct_chg_income_2,pct_chg_income_3,avg_tax_if_positive_1
0,0,17449.356439083953,2527840.239493562,0,6.345790394812419e-4,0.09192971882601242,0,2.688430337367593,15.85460867390548,4236.557103375714,172.46445302320737,0,-5.716962785408158e-5,-3.371491777416795e-4,NA
20,1344.4542855343989,1344.4542855343989,1603990.4600710329,4.88672980817644e-5,4.88672980817644e-5,0.05830074014115084,0.00182319775204321,0.14601255660164938,12.41011199229194,2987.94004033827,212.8637125745925,-2.7374411900964623e-8,-2.1923062721238604e-6,-1.8633168949083257e-4,37.30915814073971
40,37182.670582133986,43031.35190632048,2972035.1994334823,0.00135137407387244,0.00156393966381275,0.10801621433508736,3.108714563977157,10.718130584816375,46.36035973953848,6853.289057639502,429.1981534894345,-3.170055229302653e-5,-1.0929619046554423e-4,-4.727513504380908e-4,2300.4100967165537
60,33452.973420100374,45809.16722690231,2308377.29362213,0.00121721744330867,0.00166680900713376,0.08399244731549806,7.397949504108258,16.26861282531684,65.71965977048937,9760.334120879415,782.4472541397537,-5.505455289809417e-5,-1.2106884547841766e-4,-4.890769372337436e-4,6077.755083758015
80,44292.23025202971,60765.54637871599,1580343.33762196,0.00321751641345438,0.00441418600358429,0.11480073590240866,21.4277250522073,100.09915519966871,181.50198317056004,22676.696251220234,1581.0175931699048,-1.0707219864318713e-4,-5.00185465486458e-4,-9.009554712039588e-4,6659.709632748107
90,43985.96107078659,43985.96107078659,961494.7982117672,0.00640028300175584,0.00640028300175584,0.13990461191397105,52.5348251473195,97.69262455104374,358.7695655566615,15263.797635861249,2564.3869823052937,-1.6799528794758528e-4,-3.124004038423133e-4,-0.00114454278276491,8208.20347051954
95,78177.8720387959,82828.84382061736,1273051.2144013292,0.01421186672955577,0.01505736161707802,0.2314265370384144,343.38725471050293,728.3157983946087,1357.576531547693,48369.41669572141,5866.122999206222,-4.2133305434604234e-4,-8.936368943709987e-4,-0.00166373663675922,24162.009202941375
99,41817.87302510503,42257.44899506814,344450.48401469155,0.03375606443309749,0.03411089727589674,0.2780460097870399,1426.5402106531683,1470.6488068963895,3658.710018225628,43113.75320917082,13158.64960992569,-8.107377974886596e-4,-8.358057948023646e-4,-0.00205841761678877,42260.26447723152
99.9,11055.565369144164,11594.49890058845,42439.872474350945,0.08056071290122063,0.08448786344032373,0.30925477511199173,30151.56241959534,29508.62379573574,15089.027600797284,349264.6469463457,48791.575151371646,-0.00401493460734034,-0.00392854553107035,-0.00196111537212657,374271.2959425473
